class index,filepaths,labels,data set
0,train/ARCIGERA FLOWER MOTH/062.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/063.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/064.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/065.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/066.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/067.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/068.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/069.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/070.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/071.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/072.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/073.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/074.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/075.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/076.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/077.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/078.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/079.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/080.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/081.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/082.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/083.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/084.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/085.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/086.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/087.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/088.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/089.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/090.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/091.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/092.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/093.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/094.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/095.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/096.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/097.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/098.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/099.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/100.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/101.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/102.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/103.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/104.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/105.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/106.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/107.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/108.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/109.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/110.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/111.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/112.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/113.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/114.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/115.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/116.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/117.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/118.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/119.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/120.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/121.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/122.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/123.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/124.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/125.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/126.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/127.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/128.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/129.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/130.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/131.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/132.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/133.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/134.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/135.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/136.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/137.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/138.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/139.jpg,ARCIGERA FLOWER MOTH,train
0,train/ARCIGERA FLOWER MOTH/140.jpg,ARCIGERA FLOWER MOTH,train
1,train/ATLAS MOTH/001.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/002.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/003.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/004.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/005.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/006.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/007.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/008.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/009.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/010.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/011.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/012.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/013.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/014.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/015.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/016.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/017.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/018.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/019.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/020.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/021.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/022.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/023.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/024.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/025.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/026.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/027.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/028.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/029.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/030.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/031.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/032.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/033.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/034.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/035.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/036.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/037.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/038.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/039.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/040.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/041.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/042.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/043.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/044.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/045.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/046.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/047.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/048.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/049.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/050.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/051.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/052.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/053.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/054.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/055.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/056.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/057.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/058.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/059.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/060.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/061.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/062.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/063.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/064.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/065.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/066.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/067.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/068.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/069.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/070.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/071.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/072.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/073.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/074.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/075.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/076.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/077.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/078.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/079.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/080.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/081.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/082.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/083.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/084.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/085.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/086.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/087.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/088.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/089.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/090.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/091.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/092.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/093.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/094.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/095.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/096.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/097.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/098.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/099.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/100.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/101.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/102.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/103.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/104.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/105.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/106.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/107.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/108.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/109.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/110.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/111.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/112.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/113.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/114.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/115.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/116.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/117.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/118.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/119.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/120.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/121.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/122.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/123.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/124.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/125.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/126.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/127.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/128.jpg,ATLAS MOTH,train
1,train/ATLAS MOTH/129.jpg,ATLAS MOTH,train
2,train/BANDED TIGER MOTH/001.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/002.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/003.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/004.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/005.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/006.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/007.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/008.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/009.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/010.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/011.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/012.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/013.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/014.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/015.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/016.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/017.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/018.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/019.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/020.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/021.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/022.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/023.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/024.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/025.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/026.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/027.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/028.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/029.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/030.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/031.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/032.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/033.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/034.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/035.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/036.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/037.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/038.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/039.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/040.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/041.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/042.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/043.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/044.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/045.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/046.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/047.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/048.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/049.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/050.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/051.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/052.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/053.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/054.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/055.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/056.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/057.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/058.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/059.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/060.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/061.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/062.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/063.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/064.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/065.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/066.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/067.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/068.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/069.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/070.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/071.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/072.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/073.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/074.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/075.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/076.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/077.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/078.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/079.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/080.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/081.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/082.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/083.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/084.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/085.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/086.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/087.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/088.jpg,BANDED TIGER MOTH,train
2,train/BANDED TIGER MOTH/089.jpg,BANDED TIGER MOTH,train
